legId,searchDate,flightDate,startingAirport,destinationAirport,fareBasisCode,travelDuration,elapsedDays,isBasicEconomy,isRefundable,isNonStop,baseFare,totalFare,seatsRemaining,totalTravelDistance,segmentsDepartureTimeEpochSeconds,segmentsDepartureTimeRaw,segmentsArrivalTimeEpochSeconds,segmentsArrivalTimeRaw,segmentsArrivalAirportCode,segmentsDepartureAirportCode,segmentsAirlineName,segmentsAirlineCode,segmentsEquipmentDescription,segmentsDurationInSeconds,segmentsDistance,segmentsCabinCode
f111af542fe9b2d438089f8a6ee7bea1,2022-07-31,2022-08-13,IAD,ATL,UA7NX0MQ,PT1H51M,0,False,False,True,164.65,191.60,7,541,1660389000,2022-08-13T07:10:00.000-04:00,1660395660,2022-08-13T09:01:00.000-04:00,ATL,IAD,Delta,DL,Boeing 717,6660,541,coach
5209987b3f7440174ba9e094c34fb1aa,2022-07-31,2022-08-16,LGA,CLT,SUAGZNN1,PT4H25M,0,False,False,False,146.98,181.60,7,548,1660662000||1660672320,2022-08-16T11:00:00.000-04:00||2022-08-16T13:52:00.000-04:00,1660666800||1660677900,2022-08-16T12:20:00.000-04:00||2022-08-16T15:25:00.000-04:00,DCA||CLT,LGA||DCA,American Airlines||American Airlines,AA||AA,Airbus A319||Boeing 737-800,4800||5580,221||327,coach||coach
70c15aea0f3f06ba26705e51fb076d67,2022-07-31,2022-08-19,JFK,DFW,KA3OA0BC,PT6H13M,0,True,False,False,189.77,227.60,9,1487,1660946400||1660960740,2022-08-19T18:00:00.000-04:00||2022-08-19T21:59:00.000-04:00,1660956420||1660968780,2022-08-19T20:47:00.000-04:00||2022-08-19T23:13:00.000-05:00,ATL||DAL,JFK||ATL,Delta||Delta,DL||DL,Boeing 757-200||Boeing 717,10020||8040,762||725,coach||coach
ac4c777950b199924adab816b4fd1c4c,2022-07-31,2022-08-22,MIA,ORD,QVAIZSN3,PT12H2M,1,False,False,False,184.18,227.19,7,1891,1661220600||1661254500,2022-08-22T22:10:00.000-04:00||2022-08-23T06:35:00.000-05:00,1661230740||1661263920,2022-08-22T23:59:00.000-05:00||2022-08-23T09:12:00.000-05:00,IAH||ORD,MIA||IAH,American Airlines||American Airlines,AA||AA,Boeing 737-800||Airbus A319,10140||9420,958||933,coach||coach
a6d705286c244afdaf6de3a4bd6d900a,2022-07-31,2022-08-25,JFK,BOS,R0AHZNN1,PT1H22M,0,False,False,True,185.12,213.60,1,185,1661478000,2022-08-25T21:40:00.000-04:00,1661482920,2022-08-25T23:02:00.000-04:00,BOS,JFK,JetBlue Airways,B6,Embraer 175,4920,185,coach
ea55b039cbb2a6d969e07472ffe2f55a,2022-07-31,2022-08-28,IAD,DTW,NVAIZON3,PT8H49M,0,False,False,False,258.60,305.70,7,832,1661680800||1661706300,2022-08-28T06:00:00.000-04:00||2022-08-28T13:05:00.000-04:00,1661686080||1661712540,2022-08-28T07:28:00.000-04:00||2022-08-28T14:49:00.000-04:00,CLT||DTW,IAD||CLT,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,5280||6240,327||505,coach||coach
f24d306d7c66475f370818adf1ec6459,2022-07-31,2022-08-31,CLT,MIA,QVAGZNN3,PT3H27M,0,False,False,False,128.37,160.10,7,719,1661952600||1661961240,2022-08-31T09:30:00.000-04:00||2022-08-31T11:54:00.000-04:00,1661959200||1661965020,2022-08-31T11:20:00.000-04:00||2022-08-31T12:57:00.000-04:00,TPA||MIA,CLT||TPA,American Airlines||American Airlines,AA||AA,Airbus A321||Embraer 175,6600||3780,512||207,coach||coach
8b60c3760c71746ba4acc3951bf28375,2022-07-31,2022-09-03,BOS,DFW,KAVQA0BQ,PT7H1M,0,True,False,False,189.77,227.60,9,1565,1662220800||1662231960,2022-09-03T12:00:00.000-04:00||2022-09-03T15:06:00.000-04:00,1662225840||1662246060,2022-09-03T13:24:00.000-04:00||2022-09-03T18:01:00.000-05:00,LGA||DFW,BOS||LGA,Delta||Delta,DL||DL,Embraer 175||Airbus A220-100,5040||14100,185||1380,coach||coach
6e345e1823eec3725205805b11c76ceb,2022-07-31,2022-09-06,DTW,LAX,KAVOA0MC,PT9H53M,0,False,False,False,519.07,581.60,9,2943,1662473040||1662486900,2022-09-06T10:04:00.000-04:00||2022-09-06T13:55:00.000-04:00,1662480000||1662508620,2022-09-06T12:00:00.000-04:00||2022-09-06T16:57:00.000-07:00,JFK||LAX,DTW||JFK,Delta||Delta,DL||DL,Canadair Regional Jet 900||,6960||21720,485||2458,coach||coach
2844eee5e61657a95ab920513fa60df8,2022-07-31,2022-09-09,BOS,LGA,SL2AUEL1,PT1H24M,0,False,False,True,54.88,73.60,7,185,1662753600,2022-09-09T16:00:00.000-04:00,1662758640,2022-09-09T17:24:00.000-04:00,LGA,BOS,JetBlue Airways,B6,Embraer 190,5040,185,coach
a2dc775b9ef2c98a430b30c1145ce7e2,2022-07-31,2022-09-12,CLT,LGA,MVAHZNN1,PT1H42M,0,False,False,True,133.95,157.10,7,545,1663031940,2022-09-12T21:19:00.000-04:00,1663038060,2022-09-12T23:01:00.000-04:00,LGA,CLT,JetBlue Airways,B6,Boeing 737-800,6120,545,coach
b5578831ff05fe3332a83e538f0973c3,2022-07-31,2022-09-14,ORD,CLT,GA7NR,PT9H16M,0,False,False,False,31.00,100.58,0,,1663149600||1663175820,2022-09-14T05:00:00.000-05:00||2022-09-14T13:17:00.000-04:00,1663160640||1663182960,2022-09-14T09:04:00.000-04:00||2022-09-14T15:16:00.000-04:00,FLL||CLT,ORD||FLL,Spirit Airlines||Spirit Airlines,NK||NK,AIRBUS INDUSTRIE A321 SHARKLETS||,11040||7140,None||None,coach||coach
5360b523c469814cf752920e261e852c,2022-07-31,2022-09-17,ORD,DFW,UAVNA0BC,PT6H31M,0,True,False,False,137.67,171.60,9,1325,1663410900||1663426800,2022-09-17T05:35:00.000-05:00||2022-09-17T11:00:00.000-04:00,1663417680||1663434360,2022-09-17T08:28:00.000-04:00||2022-09-17T12:06:00.000-05:00,ATL||DAL,ORD||ATL,Delta||Delta,DL||DL,Airbus A321||Boeing 717,6780||7560,600||725,coach||coach
e0c5df5410453ed8748ccdadedacb826,2022-07-31,2022-09-20,PHL,CLT,G7AWZNN1,PT7H36M,0,False,False,False,208.37,247.60,7,1264,1663673340||1663693620,2022-09-20T07:29:00.000-04:00||2022-09-20T12:07:00.000-05:00,1663682040||1663700700,2022-09-20T08:54:00.000-05:00||2022-09-20T15:05:00.000-04:00,ORD||CLT,PHL||ORD,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,8700||7080,672||592,coach||coach
957b4bbb5a5be43a0659c259bf730f8f,2022-07-31,2022-09-23,ORD,DEN,V21N,PT4H30M,0,False,False,False,271.91,302.40,10,1045,1663962300||1663971900,2022-09-23T14:45:00.000-05:00||2022-09-23T17:25:00.000-05:00,1663968900||1663978500,2022-09-23T16:35:00.000-05:00||2022-09-23T18:15:00.000-06:00,ATY||DEN,ORD||ATY,Key Lime Air||Key Lime Air,KG||KG,Embraer RJ145||Embraer RJ145,6600||6600,513||532,coach||coach
c6cc86c024458d6a7fe024524709a9ec,2022-08-01,2022-08-03,CLT,PHL,UNR,PT7H11M,0,False,False,False,61.00,167.08,0,,1659520800||1659537180,2022-08-03T06:00:00.000-04:00||2022-08-03T10:33:00.000-04:00,1659527220||1659546660,2022-08-03T07:47:00.000-04:00||2022-08-03T13:11:00.000-04:00,MCO||PHL,CLT||MCO,Spirit Airlines||Spirit Airlines,NK||NK,Airbus A319||AIRBUS INDUSTRIE A321 SHARKLETS,6420||9480,None||None,coach||coach
21cbef7f5943bd0c62b920c2d9dabd07,2022-08-01,2022-08-05,ORD,IAD,G0AZZNN1,PT4H47M,1,False,False,False,164.65,199.10,7,919,1659742380||1659754200,2022-08-05T18:33:00.000-05:00||2022-08-05T22:50:00.000-04:00,1659749280||1659759600,2022-08-05T21:28:00.000-04:00||2022-08-06T00:20:00.000-04:00,CLT||IAD,ORD||CLT,American Airlines||American Airlines,AA||AA,Boeing 737-800||Boeing 737-800,6900||5400,592||327,coach||coach
98aadaacba4b1eead979b48a0cd8ad4d,2022-08-01,2022-08-09,BOS,DFW,WAA0OHEN,PT8H21M,0,False,False,False,227.91,268.60,4,1661,1660039200||1660060320,2022-08-09T06:00:00.000-04:00||2022-08-09T10:52:00.000-05:00,1660049400||1660069260,2022-08-09T07:50:00.000-05:00||2022-08-09T13:21:00.000-05:00,ORD||DFW,BOS||ORD,United||United,UA||UA,Boeing 737-900||Airbus A320,10200||8940,862||799,coach||coach
06a93604acadc9a781566ddddb826716,2022-08-01,2022-08-11,OAK,ORD,KA0UA0MC,PT10H36M,0,False,False,False,457.68,521.21,9,2083,1660229280||1660252320,2022-08-11T07:48:00.000-07:00||2022-08-11T14:12:00.000-07:00,1660234500||1660267440,2022-08-11T09:15:00.000-07:00||2022-08-11T20:24:00.000-05:00,LAX||ORD,OAK||LAX,Delta||United,DL||UA,Embraer 175 (Enhanced Winglets)||Boeing 737 MAX 9,5220||15120,338||1745,coach||coach
38c03d7d46cf83aa68a0bb952d4ccc7c,2022-08-01,2022-08-15,BOS,DTW,UAUOA0MQ,PT2H13M,0,False,False,True,199.07,228.60,7,622,1660567800,2022-08-15T08:50:00.000-04:00,1660575780,2022-08-15T11:03:00.000-04:00,DTW,BOS,Delta,DL,Airbus A321,7980,622,coach
